URLLength,DomainLength,TLDEncoding,NoOfLettersInURL,NoOfDigitsInURL,NoOfSpecialCharsInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,NoOfReference,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfExternalFiles,HasDescription,HasSocialNet,HasCopyrightInfo,label
40,23,0.39,14,2,1,0,80,800,0,2,20.0,35.0,0,0,0,5,0,0,0,0
74,41,0.14,36,7,3,0,310,2700,0,4,10.0,12.0,0,0,0,8,0,0,0,0
48,25,0.26,20,3,2,0,120,1000,1,2,8.0,10.0,0,0,0,3,0,0,0,0
99,58,0.09,48,10,7,0,480,4000,0,6,12.0,14.0,0,0,0,16,0,0,0,0
63,33,0.20,29,5,4,0,210,1800,0,3,5.0,8.0,0,0,0,7,0,0,0,0
56,32,0.30,27,4,3,0,180,1600,0,2,15.0,18.0,0,0,0,5,0,0,0,0
82,46,0.07,43,8,6,0,370,3100,0,6,20.0,25.0,0,0,0,9,0,0,0,0
50,29,0.19,24,3,2,0,140,1300,1,1,0,0,0,0,0,2,0,0,0,0
84,52,0.12,46,9,8,0,450,3800,0,7,25.0,28.0,0,0,0,12,0,0,0,0
61,34,0.27,33,5,4,0,200,2200,0,4,14.0,17.0,0,0,0,8,0,0,0,0
79,43,0.16,39,7,5,0,340,2800,0,3,10.0,10.0,0,0,0,5,0,0,0,0
37,21,0.35,17,2,2,1,90,900,0,2,8.0,15.0,0,0,0,4,0,0,0,0
25,10,0.75,12,1,1,1,800,3000,1,15,55.0,65.0,1,1,1,25,1,1,1,1
30,15,0.80,14,0,1,1,900,3500,1,18,60.0,70.2,1,1,1,30,1,1,1,1
20,8,0.90,9,0,1,1,700,2500,1,10,40.0,45.0,1,1,1,20,1,1,1,1
35,20,0.65,15,2,2,1,1000,5000,1,25,55.0,60.0,1,1,1,35,1,1,1,1
18,6,0.85,7,0,1,1,600,2000,1,12,50.0,55.0,1,1,1,22,1,1,1,1
28,12,0.78,10,1,1,1,750,2800,1,16,48.0,49.5,1,1,1,26,1,1,1,1
32,14,0.72,13,1,1,1,840,3200,1,20,55.0,57.0,1,1,1,28,1,1,1,1
27,10,0.67,11,1,1,1,660,2400,1,14,40.0,42.0,1,1,1,24,1,1,1,1
22,9,0.88,8,0,1,1,580,2200,1,10,38.0,40.0,1,1,1,18,1,1,1,1
34,16,0.70,15,2,2,1,920,3800,1,22,58.0,65.0,1,1,1,32,1,1,1,1
29,13,0.76,12,1,1,1,810,3600,1,17,48.0,50.0,1,1,1,27,1,1,1,1
26,11,0.66,11,0,1,1,720,2900,1,13,42.0,45.5,1,1,1,23,1,1,1,1
24,9,0.82,9,1,1,1,640,2600,1,11,46.0,47.0,1,1,1,21,1,1,1,1
36,18,0.69,16,2,2,1,950,4000,1,28,60.0,62.5,1,1,1,40,1,1,1,1
21,8,0.92,8,0,1,1,680,2100,1,9,35.0,36.0,1,1,1,16,1,1,1,1
31,14,0.73,13,1,2,1,890,3500,1,19,52.0,54.0,1,1,1,29,1,1,1,1
23,9,0.79,10,1,1,1,610,2300,1,12,40.0,45.0,1,1,1,20,1,1,1,1
19,7,0.95,8,0,1,1,570,1800,1,8,30.0,32.0,1,1,1,15,1,1,1,1
33,17,0.68,15,2,2,1,930,3700,1,21,60.0,64.0,1,1,1,34,1,1,1,1
16,5,0.99,6,0,1,1,540,1500,1,7,28.0,30.0,1,1,1,12,1,1,1,1
38,18,0.62,17,3,3,1,1000,4200,1,30,65.0,70.0,1,1,1,45,1,1,1,1
14,4,0.86,5,0,1,1,560,2100,1,9,34.0,37.0,1,1,1,14,1,1,1,1
42,20,0.71,18,2,2,1,1020,4500,1,35,70.0,80.0,1,1,1,50,1,1,1,1
17,6,0.93,7,0,1,1,620,2500,1,10,45.0,48.0,1,1,1,19,1,1,1,1
37,17,0.64,16,2,3,1,980,4000,1,27,55.0,60.0,1,1,1,38,1,1,1,1
15,5,0.81,6,0,1,1,590,1900,1,8,36.0,37.5,1,1,1,13,1,1,1,1
41,19,0.74,18,2,2,1,1040,4800,1,33,68.0,72.0,1,1,1,43,1,1,1,1
13,4,0.98,5,0,1,1,530,1600,1,6,28.0,35.0,1,1,1,11,1,1,1,1
29,12,0.77,11,1,1,1,700,2800,1,18,50.0,54.0,1,1,1,25,1,1,1,1
25,10,0.83,10,1,1,1,650,2200,1,14,48.0,49.0,1,1,1,21,1,1,1,1
34,15,0.61,14,2,2,1,910,3600,1,23,52.0,55.0,1,1,1,33,1,1,1,1
20,7,0.87,8,1,1,1,610,2000,1,11,42.0,46.0,1,1,1,18,1,1,1,1
18,6,0.94,7,0,1,1,640,2300,1,13,46.0,50.0,1,1,1,20,1,1,1,1
28,12,0.63,11,1,1,1,800,3000,1,16,45.0,48.0,1,1,1,26,1,1,1,1
39,18,0.70,17,2,2,1,990,4200,1,29,62.0,65.0,1,1,1,37,1,1,1,1
22,9,0.89,9,1,1,1,680,2500,1,15,55.0,56.0,1,1,1,24,1,1,1,1
16,5,0.96,6,0,1,1,540,1600,1,7,30.0,30.0,1,1,1,13,1,1,1,1
31,13,0.83,13,1,2,1,840,3100,1,19,56.0,58.0,1,1,1,29,1,1,1,1
36,17,0.65,16,2,2,1,950,3600,1,26,58.0,60.0,1,1,1,33,1,1,1,1
23,10,0.91,10,1,1,1,620,2200,1,12,40.0,42.0,1,1,1,20,1,1,1,1
27,11,0.79,11,1,1,1,710,2600,1,14,47.0,50.0,1,1,1,22,1,1,1,1
21,8,0.87,8,0,1,1,580,2000,1,10,38.0,40.0,1,1,1,18,1,1,1,1
33,16,0.60,15,2,2,1,930,3700,1,24,55.0,60.0,1,1,1,34,1,1,1,1
19,6,0.95,7,0,1,1,550,1800,1,8,35.0,36.5,1,1,1,15,1,1,1,1
38,19,0.72,17,3,2,1,980,4000,1,31,65.0,68.0,1,1,1,42,1,1,1,1
26,11,0.84,10,1,1,1,760,2800,1,18,52.0,55.0,1,1,1,25,1,1,1,1
30,14,0.90,13,1,1,1,850,3300,1,20,58.0,60.0,1,1,1,28,1,1,1,1
15,5,0.97,6,0,1,1,520,1500,1,6,28.0,30.0,1,1,1,12,1,1,1,1
40,20,0.62,18,2,2,1,1000,4500,1,35,70.0,75.0,1,1,1,45,1,1,1,1
29,12,0.88,11,1,1,1,690,2400,1,16,48.0,50.0,1,1,1,26,1,1,1,1
59,33,0.25,26,4,3,0,180,1700,0,2,5.0,10.0,0,0,0,9,0,0,0,0
44,25,0.11,19,3,2,0,120,950,0,3,15.0,12.5,0,0,0,7,0,0,0,0
68,39,0.20,32,5,4,0,210,1800,0,4,0,5.0,0,0,0,12,0,0,0,0
90,52,0.14,41,8,6,0,410,3700,0,5,10.0,15.0,0,0,0,15,0,0,0,0
50,30,0.19,24,3,2,0,140,1300,0,1,0,0,0,0,0,2,0,0,0,0
99,60,0.12,45,9,8,0,490,4100,0,8,25.0,18.5,0,0,0,16,0,0,0,0
62,36,0.22,30,5,5,0,200,2000,0,3,14.0,22.0,0,0,0,8,0,0,0,0
84,46,0.17,40,7,6,0,320,3000,0,6,20.0,25.4,0,0,0,11,0,0,0,0
47,26,0.28,22,2,3,0,130,1200,0,2,12.0,15.0,0,0,0,4,0,0,0,0
71,41,0.27,35,6,4,0,220,2500,1,4,15.0,18.0,0,0,0,9,0,0,0,0
49,28,0.31,23,3,3,0,170,1600,0,2,16.0,14.0,0,0,0,6,0,0,0,0
81,50,0.24,38,7,5,0,270,3300,0,3,10.0,12.0,0,0,0,6,0,0,0,0
60,32,0.16,28,4,4,0,160,1400,0,2,5.0,8.0,0,0,0,5,0,0,0,0
86,48,0.10,44,8,7,0,400,3600,0,5,18.0,25.0,0,0,0,14,0,0,0,0
53,30,0.23,25,4,4,0,160,1300,0,3,8.0,10.5,0,0,0,8,0,0,0,0
78,44,0.15,37,7,5,0,280,2500,0,4,12.0,17.0,0,0,0,10,0,0,0,0
43,24,0.29,18,3,2,0,110,900,0,2,5.0,10.0,0,0,0,3,0,0,0,0
65,38,0.09,34,6,5,0,300,2100,0,3,5.0,3.0,0,0,0,8,0,0,0,0
92,49,0.13,43,8,6,0,380,3300,1,5,15.0,20.0,0,0,0,12,0,0,0,0
56,31,0.05,27,4,3,0,190,1500,0,2,0,0,0,0,0,5,0,0,0,0
67,35,0.10,33,6,5,0,220,1900,0,4,10.0,10.0,0,0,0,8,0,0,0,0
39,22,0.28,16,2,2,0,90,800,0,1,5.0,8.5,0,0,0,2,0,0,0,0
77,43,0.06,39,7,5,0,310,2800,0,4,10.0,12.0,0,0,0,11,0,0,0,0
94,54,0.12,47,9,7,0,460,3800,0,7,20.0,22.5,0,0,0,16,0,0,0,0
55,29,0.21,26,4,4,0,160,1400,0,3,14.0,18.0,0,0,0,7,0,0,0,0
73,42,0.26,36,6,5,0,340,2700,0,4,10.0,14.0,0,0,0,10,0,0,0,0
40,21,0.18,16,2,2,0,80,700,0,2,0,0,0,0,0,2,0,0,0,0
52,27,0.30,25,3,3,0,150,1200,1,2,12.0,17.0,0,0,0,5,0,0,0,0
85,47,0.04,41,7,6,0,330,3200,0,5,15.0,20.0,0,0,0,12,0,0,0,0
48,26,0.26,21,3,2,0,130,1100,0,2,8.0,14.0,0,0,0,4,0,0,0,0
79,45,0.13,38,7,5,0,360,2900,0,4,14.0,16.5,0,0,0,9,0,0,0,0
100,62,0.09,49,10,8,0,500,4200,0,8,25.0,28.9,0,0,0,17,0,0,0,0
57,33,0.25,28,4,3,0,180,1700,0,2,10.0,12.0,0,0,0,6,0,0,0,0
41,23,0.27,17,2,2,0,100,900,0,3,6.0,9.0,0,0,0,3,0,0,0,0
76,40,0.07,36,6,5,0,320,2600,1,4,10.0,12.0,0,0,1,10,0,0,0,0
58,28,0.22,25,4,2,0,190,1600,0,2,7.0,10.0,0,0,0,5,0,0,0,0
88,50,0.11,42,8,7,0,410,3400,0,6,12.0,16.0,0,0,0,13,0,0,0,0
46,24,0.34,20,2,2,0,120,950,0,2,8.0,10.0,0,0,0,4,0,0,0,0
70,38,0.16,34,6,4,0,230,1900,0,3,10.0,14.0,0,0,0,7,0,0,0,0
93,51,0.10,44,9,7,0,380,3600,0,6,18.5,24.0,0,0,0,12,0,0,0,0
54,29,0.29,27,4,3,0,160,1400,1,3,12.0,15.0,0,0,0,6,0,0,0,0
66,37,0.08,33,5,4,0,210,1700,0,2,2.0,0,0,0,0,8,0,0,0,0
38,20,0.33,15,2,1,0,90,850,0,1,8.0,5.0,0,0,0,2,0,0,0,0
82,48,0.15,39,7,5,0,370,3200,0,5,16.0,18.5,0,0,0,11,0,0,0,0
45,25,0.17,19,3,2,0,110,900,0,2,10.0,12.0,0,0,0,3,0,0,0,0
64,34,0.05,31,5,4,0,200,1800,0,3,0,0,0,0,0,6,0,0,0,0
83,49,0.13,40,8,6,0,370,3500,0,5,14.0,18.0,0,0,0,11,0,0,0,0
51,27,0.23,22,3,3,0,150,1250,0,2,8.0,0,0,0,0,4,0,0,0,0
75,42,0.09,37,7,5,0,310,2800,1,3,9.0,12.0,0,0,0,10,0,0,0,0
98,59,0.18,46,9,8,0,480,3900,0,7,20.0,25.0,0,0,0,16,0,0,0,0
24,11,0.78,10,1,1,1,700,2800,1,15,50.0,55.0,1,1,1,26,1,1,1,1
28,12,0.66,11,1,1,1,750,2900,1,16,48.0,52.0,1,1,1,24,1,1,1,1
34,15,0.70,14,2,2,1,900,3700,1,22,58.0,65.0,1,1,1,30,1,1,1,1
22,9,0.85,9,1,1,1,640,2500,1,13,42.0,45.0,1,1,1,20,1,1,1,1
32,14,0.72,13,1,2,1,850,3400,1,20,55.0,60.0,1,1,1,28,1,1,1,1
26,10,0.88,10,1,1,1,720,2700,1,14,50.0,54.0,1,1,1,23,1,1,1,1
17,5,0.94,6,0,1,1,540,1800,1,9,34.0,35.0,1,1,1,12,1,1,1,1
29,13,0.71,12,1,1,1,800,3200,1,18,54.0,57.0,1,1,1,26,1,1,1,1
21,8,0.90,8,0,1,1,630,2400,1,11,45.0,46.5,1,1,1,19,1,1,1,1
36,18,0.64,16,2,2,1,950,4000,1,27,60.0,62.0,1,1,1,35,1,1,1,1
15,5,0.93,6,0,1,1,520,1500,1,7,30.0,32.0,1,1,1,13,1,1,1,1
20,7,0.86,8,1,1,1,600,2100,1,10,40.0,42.0,1,1,1,17,1,1,1,1
33,16,0.75,15,2,2,1,890,3800,1,21,62.0,65.0,1,1,1,32,1,1,1,1
27,12,0.79,11,1,1,1,780,3000,1,16,50.0,55.0,1,1,1,25,1,1,1,1
25,9,0.81,10,1,1,1,720,2900,1,14,48.0,49.0,1,1,1,21,1,1,1,1
31,14,0.68,13,1,2,1,860,3500,1,20,56.0,58.5,1,1,1,29,1,1,1,1
19,7,0.96,7,0,1,1,580,2000,1,9,35.0,37.0,1,1,1,15,1,1,1,1
23,9,0.77,9,1,1,1,610,2300,1,12,42.0,46.0,1,1,1,20,1,1,1,1
38,18,0.65,17,2,2,1,1000,4200,1,28,64.0,68.0,1,1,1,40,1,1,1,1
16,5,0.98,6,0,1,1,540,1600,1,8,30.0,34.0,1,1,1,12,1,1,1,1
42,20,0.60,18,2,2,1,1020,4600,1,35,68.0,70.0,1,1,1,48,1,1,1,1
37,17,0.69,16,2,3,1,980,3900,1,26,62.0,66.0,1,1,1,35,1,1,1,1
14,4,0.92,5,0,1,1,550,1400,1,7,28.0,29.0,1,1,1,10,1,1,1,1
30,13,0.80,12,1,1,1,840,3300,1,19,58.0,60.0,1,1,1,27,1,1,1,1
35,17,0.73,15,2,2,1,920,4100,1,24,66.0,70.0,1,1,1,36,1,1,1,1
18,6,0.95,7,0,1,1,580,1900,1,8,32.0,35.0,1,1,1,14,1,1,1,1
28,12,0.84,11,1,1,1,730,2900,1,16,49.0,52.0,1,1,1,24,1,1,1,1
22,9,0.91,9,1,1,1,620,2200,1,13,42.0,44.0,1,1,1,20,1,1,1,1
40,19,0.63,18,2,2,1,1050,4500,1,33,70.0,72.5,1,1,1,44,1,1,1,1
21,8,0.89,8,1,1,1,610,2300,1,11,38.0,41.0,1,1,1,18,1,1,1,1
39,18,0.74,17,2,2,1,990,4200,1,29,65.0,67.5,1,1,1,39,1,1,1,1
24,10,0.82,10,1,1,1,650,2400,1,14,48.0,49.5,1,1,1,21,1,1,1,1
33,15,0.67,14,2,2,1,890,3600,1,22,58.0,60.0,1,1,1,31,1,1,1,1
36,16,0.70,16,2,2,1,950,3800,1,25,62.0,64.0,1,1,1,34,1,1,1,1
29,12,0.76,12,1,1,1,800,3200,1,18,55.0,57.5,1,1,1,26,1,1,1,1
25,10,0.83,10,1,1,1,690,2800,1,15,48.0,50.0,1,1,1,22,1,1,1,1
31,13,0.86,13,1,2,1,860,3400,1,20,56.0,59.0,1,1,1,29,1,1,1,1
27,11,0.75,11,1,1,1,750,3000,1,17,54.0,56.0,1,1,1,25,1,1,1,1
15,5,0.99,6,0,1,1,510,1500,1,6,28.0,29.5,1,1,1,12,1,1,1,1
34,14,0.68,14,2,2,1,920,3500,1,22,58.0,62.0,1,1,1,32,1,1,1,1
23,9,0.90,9,1,1,1,610,2200,1,12,44.0,46.0,1,1,1,20,1,1,1,1
38,17,0.61,16,2,2,1,970,3900,1,28,60.0,64.0,1,1,1,37,1,1,1,1
14,4,0.87,5,0,1,1,540,1400,1,7,26.0,28.0,1,1,1,10,1,1,1,1
20,8,0.93,8,1,1,1,600,2100,1,9,35.0,38.0,1,1,1,17,1,1,1,1
37,18,0.65,16,2,3,1,980,4100,1,27,62.0,66.0,1,1,1,38,1,1,1,1
30,13,0.79,12,1,1,1,840,3300,1,19,50.0,53.0,1,1,1,28,1,1,1,1
18,6,0.97,7,0,1,1,570,1900,1,8,32.0,36.0,1,1,1,13,1,1,1,1
35,16,0.64,15,2,2,1,930,3800,1,24,64.0,68.0,1,1,1,33,1,1,1,1
19,7,0.88,7,0,1,1,590,2000,1,9,36.0,38.0,1,1,1,14,1,1,1,1
42,20,0.60,18,2,2,1,1030,4600,1,35,70.0,72.0,1,1,1,45,1,1,1,1
58,35,0.23,27,4,3,0,150,1400,0,2,5.0,9.5,0,0,0,6,0,0,0,0
72,40,0.14,34,6,5,0,220,2100,0,3,10.0,15.0,0,0,0,10,0,0,0,0
63,34,0.19,29,5,4,0,190,1700,0,3,12.0,14.5,0,0,0,5,0,0,0,0
47,25,0.27,21,3,2,0,110,1000,0,2,8.0,12.0,0,0,0,4,0,0,0,0
91,53,0.16,43,8,6,0,410,3400,0,6,15.5,19.0,0,0,0,14,0,0,0,0
54,30,0.34,25,4,4,0,160,1300,0,2,10.0,15.0,0,0,0,6,0,0,0,0
76,43,0.22,36,7,5,0,310,2600,0,4,18.0,20.0,0,0,0,9,0,0,0,0
40,21,0.25,17,2,2,0,90,700,0,1,2.0,5.0,0,0,0,2,0,0,0,0
68,36,0.28,32,5,4,0,220,2000,0,4,15.0,18.0,0,0,0,7,0,0,0,0
99,61,0.07,45,9,8,0,480,4200,0,8,20.0,22.0,0,0,0,17,0,0,0,0
52,29,0.20,24,3,3,0,150,1200,0,2,8.0,10.0,0,0,0,5,0,0,0,0
83,46,0.17,39,7,6,0,320,3100,0,5,16.0,20.0,0,0,0,11,0,0,0,0
45,24,0.30,19,3,2,0,120,900,0,2,8.0,14.0,0,0,0,3,0,0,0,0
61,33,0.11,28,5,4,0,180,1500,0,3,5.0,10.0,0,0,0,7,0,0,0,0
87,49,0.06,42,8,7,0,400,3700,0,5,14.0,17.0,0,0,0,13,0,0,0,0
53,28,0.24,25,4,3,0,160,1400,1,2,8.5,10.0,0,0,0,6,0,0,0,0
69,40,0.10,33,5,5,0,230,1900,0,3,5.0,9.0,0,0,0,8,0,0,0,0
42,22,0.33,18,2,2,0,100,850,0,2,12.0,8.0,0,0,0,3,0,0,0,0
94,56,0.13,46,9,7,0,450,3900,0,7,20.0,25.0,0,0,0,16,0,0,0,0
57,29,0.08,27,4,3,0,170,1600,0,2,0,0,0,0,0,4,0,0,0,0
75,42,0.29,36,7,5,0,310,2800,0,4,14.0,18.0,0,0,0,10,0,0,0,0
36,20,0.12,15,2,2,1,80,900,0,1,5.0,7.0,0,0,0,2,0,0,0,0
60,31,0.21,28,4,4,0,160,1500,0,3,10.5,13.0,0,0,0,5,0,0,0,0
80,44,0.05,38,7,5,0,280,3000,0,4,12.0,15.0,0,0,0,12,0,0,0,0
51,27,0.32,23,3,2,0,140,1250,0,2,10.0,12.5,0,0,0,4,0,0,0,0
66,35,0.09,31,5,4,0,200,1800,0,3,2.0,5.0,0,0,0,7,0,0,0,0
37,19,0.26,15,2,3,0,90,800,0,2,8.0,12.0,0,0,0,2,0,0,0,0
73,40,0.18,35,6,4,0,340,2700,0,4,10.0,14.0,0,0,0,9,0,0,0,0
96,58,0.16,47,9,7,0,450,3900,0,7,18.0,25.0,0,0,0,16,0,0,0,0
59,32,0.13,26,4,3,0,180,1500,0,2,8.0,10.0,0,0,0,6,0,0,0,0
48,26,0.31,21,3,2,0,130,1100,0,2,5.0,10.0,0,0,0,4,0,0,0,0
85,47,0.07,41,7,6,0,330,3400,0,5,15.0,17.0,0,0,0,12,0,0,0,0
44,25,0.28,19,3,2,0,120,950,0,2,8.0,13.0,0,0,0,4,0,0,0,0
71,42,0.10,34,6,4,0,220,2500,1,3,10.0,11.0,0,0,0,10,0,0,0,0
33,18,0.25,14,2,2,1,100,800,0,1,2.5,5.0,0,0,0,3,0,0,0,0
67,36,0.08,32,6,5,0,220,2000,0,4,5.0,8.0,0,0,0,7,0,0,0,0
93,50,0.12,45,9,7,0,400,3500,0,7,18.0,22.0,0,0,0,15,0,0,0,0
55,28,0.27,25,4,3,0,160,1400,0,2,9.0,12.0,0,0,0,6,0,0,0,0
89,53,0.15,42,8,6,0,420,3700,0,5,16.0,20.0,0,0,0,14,0,0,0,0
43,24,0.30,18,2,2,0,110,900,0,2,8.0,10.0,0,0,0,3,0,0,0,0
78,44,0.04,36,7,5,0,280,2700,0,4,10.0,12.0,0,0,0,9,0,0,0,0
62,34,0.22,30,5,4,0,190,1800,0,3,14.0,18.0,0,0,0,5,0,0,0,0
50,27,0.35,24,3,3,0,140,1200,0,2,12.0,15.0,0,0,0,5,0,0,0,0
82,46,0.18,39,7,6,0,370,3300,0,5,16.0,19.0,0,0,0,10,0,0,0,0
91,52,0.03,44,8,6,0,410,3600,0,6,12.0,14.5,0,0,0,15,0,0,0,0
56,31,0.23,26,4,3,0,180,1500,0,2,8.0,10.0,0,0,0,6,0,0,0,0
100,63,0.09,49,10,8,0,510,4200,0,8,25.0,30.0,0,0,0,17,0,0,0,0
34,17,0.26,14,2,2,0,100,950,0,1,0,0,0,0,0,2,0,0,0,0
74,42,0.14,36,6,4,0,310,2900,0,4,10.0,16.0,0,0,0,11,0,0,0,0
97,59,0.13,47,9,7,0,470,3900,0,7,18.0,24.5,0,0,0,16,0,0,0,0
49,26,0.15,22,3,3,0,150,1150,0,2,8.5,0,0,0,0,6,0,0,0,0
66,36,0.08,31,5,4,0,200,1900,0,3,2.0,2.0,0,0,0,7,0,0,0,0
24,10,0.80,10,1,1,1,690,2800,1,15,46.0,50.0,1,1,1,25,1,1,1,1
30,14,0.74,13,1,1,1,850,3300,1,20,57.0,60.0,1,1,1,28,1,1,1,1
18,6,0.99,7,0,1,1,560,2000,1,9,32.0,34.0,1,1,1,12,1,1,1,1
33,15,0.66,14,2,2,1,880,3600,1,22,58.0,60.0,1,1,1,31,1,1,1,1
38,17,0.71,17,2,2,1,970,4200,1,27,62.0,65.0,1,1,1,39,1,1,1,1
25,10,0.85,10,1,1,1,660,2300,1,14,45.0,48.0,1,1,1,21,1,1,1,1
20,7,0.92,8,1,1,1,610,2100,1,10,35.0,37.0,1,1,1,16,1,1,1,1
15,5,0.96,6,0,1,1,520,1500,1,6,30.0,32.0,1,1,1,12,1,1,1,1
27,11,0.80,11,1,1,1,730,2800,1,16,48.0,51.5,1,1,1,23,1,1,1,1
22,8,0.86,8,1,1,1,620,2200,1,12,40.0,42.0,1,1,1,19,1,1,1,1
34,16,0.68,14,2,2,1,920,3700,1,22,60.0,63.0,1,1,1,32,1,1,1,1
16,5,0.93,6,0,1,1,550,1700,1,8,28.0,29.0,1,1,1,13,1,1,1,1
26,10,0.87,10,1,1,1,710,2700,1,14,50.0,54.0,1,1,1,22,1,1,1,1
35,17,0.60,15,2,2,1,930,3800,1,24,64.0,68.0,1,1,1,34,1,1,1,1
19,7,0.94,7,0,1,1,590,1800,1,8,32.0,34.5,1,1,1,15,1,1,1,1
29,13,0.82,12,1,1,1,810,3300,1,18,52.0,55.0,1,1,1,27,1,1,1,1
21,9,0.90,8,1,1,1,610,2300,1,11,38.0,40.0,1,1,1,18,1,1,1,1
36,18,0.73,16,2,2,1,950,4000,1,27,60.0,62.5,1,1,1,34,1,1,1,1
37,17,0.67,16,2,3,1,980,4200,1,28,64.0,68.0,1,1,1,38,1,1,1,1
32,14,0.76,13,1,2,1,850,3400,1,20,56.0,59.0,1,1,1,28,1,1,1,1
28,12,0.83,11,1,1,1,740,2950,1,16,49.0,52.0,1,1,1,24,1,1,1,1
23,9,0.78,9,1,1,1,620,2250,1,12,42.0,46.0,1,1,1,20,1,1,1,1
41,19,0.70,18,2,2,1,1000,4500,1,29,66.0,70.0,1,1,1,40,1,1,1,1
14,4,0.95,5,0,1,1,540,1400,1,7,28.0,30.0,1,1,1,10,1,1,1,1
31,13,0.84,13,1,2,1,860,3400,1,19,55.0,57.5,1,1,1,28,1,1,1,1
17,6,0.98,7,0,1,1,560,1800,1,8,32.0,35.0,1,1,1,13,1,1,1,1
39,18,0.66,17,2,2,1,990,4300,1,29,65.0,67.5,1,1,1,39,1,1,1,1
20,8,0.88,8,1,1,1,600,2100,1,10,35.0,38.0,1,1,1,17,1,1,1,1
