"URLLength","DomainLength","TLDEncoding","NoOfLettersInURL","NoOfDegitsInURL","NoOfSpecialCharsInURL","IsHTTPS","LineOfCode","LargestLineLength","HasTitle","NoOfReference","DomainTitleMatchScore","URLTitleMatchScore","HasFavicon","Robots","IsResponsive","NoOfExternalFiles","HasDescription","HasSocialNet","HasCopyrightInfo","label"
462,13,0,295,92,52,1,2,1638,1,0,0,0,0,0,1,1,0,0,0,0
465,13,0,304,83,55,1,2,1638,1,0,0,0,0,0,1,1,0,0,0,0
462,13,0,291,94,54,1,2,1638,1,0,0,0,0,0,1,1,0,0,0,0
461,13,0,291,87,60,1,2,1638,1,0,0,0,0,0,1,1,0,0,0,0
160,11,0,85,26,26,1,2,168,0,0,0,0.763358779,0,0,0,0,0,0,0,0
471,11,0,301,110,53,1,125,53164,1,7,0,0,0,0,1,1,1,0,1,0
461,11,0,302,81,55,1,2,1638,1,0,0,0,0,0,1,1,0,0,0,0
253,11,0,156,43,31,1,11,556,1,1,0,0,0,0,0,0,0,0,0,0
185,11,0,95,35,32,1,2,193,0,0,0,0.641025641,0,0,0,0,0,0,0,0
374,11,0,226,77,48,1,2,1638,1,0,0,0,0,0,1,1,0,0,0,0
253,11,0,161,39,30,1,11,559,1,1,0,0,0,0,0,0,0,0,0,0
28,20,0,0,16,5,0,60,138,1,0,0,0,1,0,1,9,0,0,0,0
23,15,0,0,12,4,0,8,90,1,0,0,0,0,0,0,0,0,0,0,0
471,13,0,302,107,55,1,125,53150,1,7,0,0,0,0,1,1,1,0,1,0
21,14,0,0,11,3,0,19,612,1,4,0,0,1,1,0,3,0,0,0,0
21,13,0,0,10,4,0,11,73,1,0,0,0,0,0,0,0,0,0,0,0
192,14,0,95,42,32,1,2,200,0,0,0,0.613496933,0,0,0,0,0,0,0,0
33,11,0,12,8,6,0,11,96,1,0,0,0,0,0,0,0,0,0,0,0
460,12,0,294,85,58,1,2,1638,1,0,0,0,0,0,1,1,0,0,0,0
470,12,0,306,97,60,1,125,53440,1,7,0,0,0,0,1,1,1,0,1,0
319,12,0,213,50,33,1,2,1638,1,0,0,0,0,0,1,1,0,0,0,0
192,14,0,95,42,32,1,2,200,0,0,9.090909091,0.613496933,0,0,0,0,0,0,0,0
34,12,0,12,9,6,0,10,48,0,0,11.11111111,4.347826087,0,0,0,0,0,0,0,0
255,14,0,159,42,31,1,11,557,1,1,0,0,0,0,0,0,0,0,0,0
472,14,0,301,108,56,1,125,54647,1,7,0,0,0,0,1,1,1,0,1,0
477,14,0,310,104,56,1,125,53379,1,7,0,0,0,0,1,1,1,0,1,0
32,18,0,5,14,6,0,16,73,0,0,10,5.882352941,0,0,0,0,0,0,0,0
406,13,0,237,91,55,1,2,1638,1,0,0,0,0,0,1,1,0,0,0,0
471,13,0,297,114,53,1,125,53544,1,7,0,0,0,0,1,1,1,0,1,0
187,13,0,95,37,32,1,2,195,0,0,0,0.632911392,0,0,0,0,0,0,0,0
404,13,0,233,91,57,1,2,1638,1,0,0,0,0,0,1,1,0,0,0,0
290,13,0,174,59,34,1,1892,35891,1,7,0,0,0,0,0,10,0,0,0,0
381,12,0,233,88,53,1,125,53527,1,7,0,0,0,0,1,2,1,0,1,0
380,12,0,234,88,51,1,125,53523,1,7,0,0,0,0,1,2,1,0,1,0
460,13,0,289,93,55,1,2,1638,1,0,0,0,0,0,1,1,0,0,0,0
464,13,0,295,91,55,1,2,1638,1,0,0,0,0,0,1,1,0,0,0,0
464,13,0,299,88,54,1,2,1638,1,0,0,0,0,0,1,1,0,0,0,0
464,13,0,299,87,55,1,2,1638,1,0,0,0,0,0,1,1,0,0,0,0
253,13,0,160,38,32,1,11,558,1,1,0,0,0,0,0,0,0,0,0,0
382,13,0,234,90,51,1,125,53301,1,7,0,0,0,0,1,1,1,0,1,0
213,13,0,131,56,19,0,1889,36145,1,7,0,0,0,0,0,10,0,0,0,0
24,11,0.5,12,2,2,1,2,33,0,0,0,0,0,0,0,0,0,0,0,0
20,13,0.5,7,0,1,1,158,390,1,22,100,100,0,0,1,14,1,0,0,1
69,30,0,39,15,8,0,2,77,0,0,0,1.923076923,0,0,0,0,0,0,0,0
66,27,0,36,15,8,0,9,74,1,0,0,0,0,0,0,0,0,0,0,0
28,21,1,15,0,1,1,1186,604,1,155,0,0,1,0,1,34,0,1,0,1
85,15,0.4,56,10,11,1,12,391,1,0,0,0,0,0,0,1,0,0,0,0
26,20,0.4,14,0,1,0,3,109,1,2,0,0,0,0,0,0,0,0,0,0
24,17,0.4,11,0,1,1,1317,1391,1,352,0,0,1,0,1,86,1,0,1,1
28,21,0.4,15,0,1,1,3757,520,1,303,0,0,1,0,1,26,0,1,0,1
78,15,0.4,50,10,10,1,338,391,1,9,0,0,0,1,1,11,0,0,0,0
55,20,0.4,36,3,5,0,455,210,1,5,0,0,1,0,1,11,0,0,0,0
22,15,0.4,8,0,2,1,3738,979,1,334,0,0,1,0,1,25,1,1,1,1
23,16,0.4,9,0,2,1,1028,8047,1,89,0,0,1,1,1,30,1,1,1,1
19,6,0.4,9,0,2,1,2,28,0,0,0,0,0,0,0,0,0,0,0,0
20,14,0.4,8,0,1,0,9,50,1,0,0,0,0,0,0,0,0,0,0,0
19,12,1,6,0,1,1,332,2237,1,48,100,100,1,0,1,27,1,0,1,1
29,22,1,16,0,1,1,1183,10793,1,344,0,0,0,1,1,80,0,1,1,1
20,13,1,6,0,2,1,1522,1247,1,128,0,0,1,0,1,152,0,1,1,1
41,16,0.5,24,0,6,0,11,88,1,1,0,100,0,0,0,0,0,0,0,0
22,15,0.5,9,0,1,1,4042,9042,1,533,100,100,1,0,0,45,0,1,1,1
21,15,0,9,0,1,0,2,30,0,0,0,0,0,0,0,0,0,0,0,0
119,18,0,84,12,15,1,254,100000,1,18,0,0,1,0,1,13,1,0,0,0
18,11,0.714285714285714,5,0,1,1,905,378,1,61,0,0,1,0,1,51,0,1,1,1
29,10,0.714285714285714,19,0,2,1,90,394,1,4,0,94.44444444,0,1,1,2,0,0,0,0
23,16,0.714285714285714,10,0,1,1,655,647,1,129,100,100,0,0,1,11,1,1,1,1
19,12,0.714285714285714,6,0,1,1,616,315,1,29,100,100,0,0,1,37,0,0,0,1
19,12,0.714285714285714,6,0,1,1,1511,9381,1,363,80,80,0,1,1,111,1,1,1,1
34,18,0.714285714285714,22,0,4,1,2,3126,0,2,0,0,0,0,1,2,0,0,0,0
25,18,0.714285714285714,12,0,1,1,2481,1328,1,170,100,100,1,0,1,144,1,1,1,1
24,17,1,11,0,1,1,1689,11210,1,364,0,0,1,0,1,45,1,1,0,1
29,22,0.666666666666667,16,0,1,1,190,149,1,37,0,0,1,0,1,39,1,0,0,1
22,15,0.666666666666667,9,0,1,1,2202,1289,1,166,100,100,0,0,1,105,0,1,1,1
18,11,0.666666666666667,5,0,1,1,719,815,1,94,100,100,1,0,1,159,1,0,1,1
29,21,0.666666666666667,18,0,4,0,11,73,1,1,0,0,0,0,0,0,0,0,0,0
26,19,0.666666666666667,13,0,1,1,482,586,1,201,0,0,1,1,1,41,1,1,0,1
17,10,0.666666666666667,3,1,1,1,1519,629,1,248,100,100,1,0,1,108,0,1,1,1
27,20,0.666666666666667,13,0,2,1,1488,1312,1,116,0,0,0,0,0,50,1,1,1,1
38,27,0.666666666666667,25,3,3,0,11,83,1,1,0,0,0,0,0,0,0,0,0,0
17,10,0.666666666666667,4,0,1,1,300,383,1,40,100,100,1,0,0,18,1,1,1,1
23,16,0.666666666666667,10,0,1,1,2534,8047,1,532,0,0,1,1,1,133,1,1,1,1
15,8,0.666666666666667,3,0,1,0,9,42,1,0,100,100,0,0,0,0,0,0,0,0
16,9,0.666666666666667,4,0,1,0,9,68,1,2,100,100,0,0,0,0,0,0,0,0
29,22,1,15,0,2,1,2711,36107,1,229,0,0,0,1,1,98,0,1,0,1
24,17,0.0248538011695906,11,0,1,1,365,250,1,12,100,100,1,0,1,25,0,1,1,1
32,24,0.0248538011695906,20,0,4,1,49,218,0,1,0,0,0,0,0,1,0,0,1,0
46,37,0.0248538011695906,28,4,6,1,13,87,1,0,0,0,0,0,1,0,0,1,0,0
42,33,0.0248538011695906,25,3,6,1,59,78,1,1,0,0,1,0,0,5,1,0,0,0
28,20,0.0248538011695906,18,0,2,1,2,50,0,0,0,0,0,0,0,0,0,0,0,0
27,19,0.0248538011695906,12,4,3,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
36,30,0.0248538011695906,22,0,3,0,2,48,0,0,0,0,0,0,0,0,0,0,0,0
31,23,0.0248538011695906,19,0,4,1,65,185,1,2,0,0,0,0,1,5,0,0,0,0
41,32,0.0248538011695906,26,1,6,1,45,117,1,0,0,0,0,0,0,1,0,0,0,0
33,24,0.0248538011695906,20,0,5,1,11,1666,1,1,0,0,1,0,0,3,0,0,0,0
43,34,0.0248538011695906,12,20,3,1,6,103,0,0,0,0,0,0,0,0,0,0,0,0
26,17,0.0248538011695906,12,3,3,1,3,17024,0,1,0,0,0,0,0,2,0,0,0,0
37,28,0.0248538011695906,17,6,6,1,8,83,0,0,4.166666667,4.166666667,0,0,1,0,0,0,0,0
45,37,0.0248538011695906,18,15,4,1,2,1152,1,2,0,0,0,1,0,3,0,0,1,0
22,15,0.0248538011695906,9,0,1,1,3670,2383,1,251,100,100,1,0,1,61,1,1,1,1
32,24,0.0248538011695906,22,0,2,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
34,28,0.0248538011695906,18,3,2,0,2,40,0,0,0,0,0,0,0,0,0,0,0,0
47,26,0.0248538011695906,35,0,5,0,2,56,0,0,0,0,0,0,0,0,0,0,0,0
39,30,0.0248538011695906,26,0,5,1,11,1663,1,1,0,0,1,0,0,3,0,0,0,0
26,18,0.0248538011695906,14,2,2,1,114,609,0,1,7.142857143,7.142857143,0,0,1,2,0,0,1,0
24,16,0.0248538011695906,12,1,3,1,33,3990,1,0,0,0,0,0,1,5,0,0,0,0
37,28,0.0248538011695906,23,3,3,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
30,22,0.0248538011695906,16,3,3,1,36,247,1,1,0,0,0,0,0,2,0,0,0,0
29,20,0.0248538011695906,14,2,5,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
38,29,0.0248538011695906,26,1,3,1,26,176,0,0,0,0,0,0,0,0,0,0,0,0
27,18,0.0248538011695906,16,0,3,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
41,32,0.0248538011695906,22,5,6,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
41,33,0.0248538011695906,25,5,3,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
26,17,0.0248538011695906,12,2,4,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
38,29,0.0248538011695906,14,10,6,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
27,18,0.0248538011695906,15,1,3,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
49,40,0.0248538011695906,33,0,8,1,44,117,1,0,0,0,0,0,0,1,0,0,0,0
28,20,0.0248538011695906,14,3,3,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
47,39,0.0248538011695906,28,4,7,1,151,4168,1,2,0,0,1,0,1,0,0,0,0,0
54,33,0.0248538011695906,31,10,5,1,84,303,1,1,0,0,0,0,1,6,0,0,0,0
36,28,0.0248538011695906,24,0,4,1,187,1720,1,2,0,0,0,1,0,9,0,0,0,0
37,28,0.0248538011695906,23,3,3,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
24,15,0.0248538011695906,12,0,4,1,30,6255,1,5,0,0,1,0,1,6,0,0,0,0
30,21,0.0248538011695906,17,1,4,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
30,21,0.0248538011695906,16,2,4,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
29,21,0.0248538011695906,16,3,2,1,35,263,1,1,0,0,0,0,0,1,0,0,0,0
26,17,0.0248538011695906,14,1,3,1,2,2278,1,1,0,0,0,0,1,2,0,0,0,0
30,21,0.0248538011695906,19,0,3,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
29,21,0.0248538011695906,19,0,2,1,16,110,1,2,0,0,0,0,0,0,0,0,0,0
46,37,0.0248538011695906,28,4,6,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
39,30,0.0248538011695906,27,0,4,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
18,12,0.0248538011695906,10,0,1,0,9,50,1,0,100,100,0,0,0,0,0,0,0,0
28,19,0.0248538011695906,15,2,3,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
27,19,0.0248538011695906,9,8,2,1,8,87,0,0,0,0,0,0,0,0,0,0,0,0
23,15,0.0248538011695906,11,1,3,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
29,23,0.0248538011695906,19,0,3,0,2,38,0,0,0,0,0,0,0,0,0,0,0,0
57,39,0.0248538011695906,37,3,9,1,151,4168,1,2,0,0,1,0,1,0,0,0,0,0
30,22,0.0248538011695906,15,4,3,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
26,18,0.0248538011695906,11,4,3,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
37,28,0.0248538011695906,23,3,3,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
37,28,0.0248538011695906,23,3,3,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
43,35,0.0248538011695906,26,6,3,1,31,100000,0,1,3.225806452,3.225806452,0,0,0,0,0,0,0,0
33,25,0.0248538011695906,21,2,2,1,2,100000,0,0,0,0,0,0,0,0,0,0,0,0
29,21,0.0248538011695906,16,3,2,1,36,24569,1,1,0,0,0,0,0,0,0,0,0,0
46,38,0.0248538011695906,24,9,5,1,2,1144,1,2,0,0,0,1,0,3,0,0,1,0
29,20,0.0248538011695906,14,2,5,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
24,15,0.0248538011695906,13,0,3,1,12,89,1,0,0,0,0,0,1,0,0,0,0,0
37,28,0.0248538011695906,23,3,3,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
25,16,0.0248538011695906,9,4,4,1,35,7498,1,0,0,0,0,0,0,0,0,0,0,0
26,17,0.0248538011695906,14,1,3,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
33,25,0.0248538011695906,23,0,2,1,16,110,1,2,0,0,0,0,0,0,0,0,0,0
30,22,0.0248538011695906,18,1,3,1,36,247,1,1,0,0,0,0,0,2,0,0,0,0
23,14,0.0248538011695906,12,0,3,1,2,1111,1,1,0,0,1,0,1,2,0,0,0,0
33,24,0.0248538011695906,18,1,6,1,39,98,1,2,0,0,0,0,1,0,0,0,0,0
41,33,0.0248538011695906,16,15,2,1,50,107,1,0,0,0,0,0,1,0,0,0,0,0
41,33,0.0248538011695906,12,19,2,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
33,24,0.0248538011695906,21,0,4,1,8,77,0,0,0,0,0,0,1,0,0,0,0,0
31,23,0.0248538011695906,17,3,3,1,4,742,1,3,0,0,1,0,1,2,0,0,0,0
28,19,0.0248538011695906,12,5,3,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
25,17,0.0248538011695906,15,0,2,1,16,110,1,2,0,0,0,0,0,0,0,0,0,0
29,21,0.0248538011695906,13,5,3,1,9,86,0,0,0,0,0,0,0,0,0,0,0,0
27,18,0.0248538011695906,11,5,3,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
44,36,0.0248538011695906,23,10,3,1,43,107,1,0,0,0,0,0,1,0,0,0,0,0
27,19,0.0248538011695906,17,0,2,1,16,110,1,2,0,0,0,0,0,0,0,0,0,0
58,39,0.0248538011695906,42,3,5,1,9,1454,1,0,0,0,0,0,0,1,0,0,0,0
47,38,0.0248538011695906,18,16,5,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
26,17,0.0248538011695906,12,2,4,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
27,19,0.0248538011695906,17,0,2,1,17,100,1,2,0,0,0,0,0,0,0,0,0,0
31,22,0.0248538011695906,15,4,4,1,3,178,0,0,5.555555556,5.555555556,0,0,0,0,0,0,0,0
39,30,0.0248538011695906,24,0,7,1,45,117,1,0,0,0,0,0,0,1,0,0,0,0
26,17,0.0248538011695906,15,0,3,1,36,249,1,1,0,0,0,0,0,1,0,0,0,0
26,17,0.0248538011695906,15,0,3,1,37,248,1,1,0,0,0,0,0,1,0,0,0,0
30,22,0.0248538011695906,16,3,3,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
37,28,0.0248538011695906,23,3,3,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
27,19,0.0248538011695906,12,4,3,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
37,28,0.0248538011695906,23,3,3,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
28,20,0.0248538011695906,18,0,2,1,2,2252,1,1,0,0,1,0,1,3,0,0,0,0
49,14,0.0248538011695906,30,3,8,1,19,77466,1,1,0,0,0,0,0,1,0,0,0,0
35,27,0.0248538011695906,25,0,2,1,26,826,0,1,0,0,0,0,0,1,0,0,0,0
42,33,0.0248538011695906,27,1,6,1,23,221,0,0,0,0,0,0,0,0,0,0,0,0
37,29,0.0248538011695906,20,5,4,1,7,67,0,1,4,4,0,0,0,0,0,1,0,0
56,49,0.0248538011695906,41,4,4,0,2,66,0,0,0,0,0,0,0,0,0,0,0,0
37,28,0.0248538011695906,23,3,3,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
27,18,0.0248538011695906,15,0,4,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
27,18,0.0248538011695906,15,1,3,1,228,77763,1,1,0,0,0,0,0,1,0,0,0,0
33,25,0.0248538011695906,21,2,2,1,2,100000,0,0,0,0,0,0,0,0,0,0,0,0
54,46,0.0248538011695906,39,0,7,1,44,117,1,0,0,0,0,0,0,1,0,0,0,0
29,20,0.0248538011695906,17,1,3,1,26,176,0,0,0,0,0,0,0,0,0,0,0,0
20,14,0.0248538011695906,8,0,1,0,2,38,0,0,0,0,0,0,0,0,0,0,0,0
37,28,0.0248538011695906,23,3,3,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
32,24,0.0248538011695906,16,4,4,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
37,28,0.0248538011695906,23,3,3,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
60,20,0.0248538011695906,42,3,7,1,2,100000,1,1,0,0,0,0,1,2,0,0,0,0
30,22,0.0248538011695906,15,4,3,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
36,27,0.0248538011695906,23,2,3,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
29,21,0.0248538011695906,19,0,2,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
37,28,0.0248538011695906,19,5,5,1,6,67,0,0,0,0,0,0,0,0,0,0,0,0
40,31,0.0248538011695906,12,17,3,1,6,102,0,0,0,0,0,0,0,0,0,0,0,0
33,19,0.0248538011695906,21,0,4,1,2,1439,0,1,0,0,0,0,1,2,0,0,0,0
27,18,0.0248538011695906,10,6,3,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
24,18,0.0248538011695906,10,1,2,0,9,50,1,0,0,0,0,0,0,0,0,0,0,0
27,18,0.0248538011695906,16,0,3,1,20,58,1,1,0,0,0,0,0,0,0,0,0,0
35,27,0.0248538011695906,24,0,3,1,14,100,1,2,0,0,0,0,0,0,0,0,0,0
30,21,0.0248538011695906,18,0,4,1,51,25291,1,2,0,0,1,0,1,3,0,0,1,0
26,18,0.0248538011695906,12,4,2,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
23,14,0.0248538011695906,10,2,3,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
37,28,0.0248538011695906,23,3,3,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
31,22,0.0248538011695906,13,6,4,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
26,17,0.0248538011695906,13,0,5,1,2,1416,0,0,0,0,0,0,0,0,0,0,0,0
31,22,0.0248538011695906,19,1,3,1,228,77763,1,1,0,0,0,0,0,1,0,0,0,0
32,23,0.0248538011695906,18,2,4,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
24,16,0.0248538011695906,13,1,3,0,2,33,0,0,0,0,0,0,0,0,0,0,0,0
30,22,0.0248538011695906,20,0,2,1,2,1339,1,1,0,0,0,0,1,2,0,0,0,0
47,38,0.0248538011695906,27,6,6,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
37,28,0.0248538011695906,23,3,3,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
30,21,0.0248538011695906,16,2,4,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
29,22,0.0248538011695906,18,2,2,0,2,39,0,0,5.555555556,5.555555556,0,0,0,0,0,0,0,0
25,17,0.0248538011695906,10,4,3,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
26,17,0.0248538011695906,14,0,4,1,2,636,1,1,0,0,1,0,1,3,0,0,0,0
40,31,0.0248538011695906,27,0,5,1,11,1663,1,1,0,0,1,0,0,2,0,0,0,0
48,39,0.0248538011695906,31,4,5,1,52,3983,1,1,0,0,0,1,0,3,0,0,0,0
37,28,0.0248538011695906,23,3,3,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
32,23,0.0248538011695906,20,0,4,1,35,186,1,0,0,0,0,0,1,0,0,0,0,0
29,23,0.0248538011695906,15,0,3,0,3,53,0,0,0,0,0,0,0,0,0,0,0,0
42,33,0.0248538011695906,24,4,6,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
27,18,0.0248538011695906,16,0,3,1,2,1339,1,1,0,0,0,0,1,2,0,0,0,0
39,30,0.0248538011695906,21,7,3,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
35,27,0.0248538011695906,22,1,4,1,8,79,0,0,0,0,0,0,1,0,0,0,0,0
48,39,0.0248538011695906,27,7,6,1,2,1929,1,2,0,0,1,0,1,2,0,0,0,0
47,39,0.0248538011695906,30,2,7,1,151,4168,1,2,0,0,1,0,1,0,0,0,0,0
28,20,0.0248538011695906,12,5,3,1,36,24569,1,1,0,0,0,0,0,0,0,0,0,0
36,27,0.0248538011695906,14,8,6,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
25,18,0.0248538011695906,12,0,1,1,321,699,1,9,100,100,1,1,1,28,1,0,1,1
23,15,0.0248538011695906,12,1,2,1,202,13725,0,1,0,0,0,0,1,0,0,0,0,0
945,30,0.0248538011695906,590,98,121,1,23,953,0,0,0,0.133155792,0,0,0,0,0,0,0,0
29,23,0.0248538011695906,20,0,2,0,2,50,0,0,0,0,0,0,0,0,0,0,0,0
24,16,0.0248538011695906,11,2,3,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
21,14,0.0248538011695906,8,0,1,1,503,188,1,12,100,100,0,0,1,27,1,0,1,1
28,19,0.0248538011695906,16,1,3,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
34,25,0.0248538011695906,16,5,5,1,66,172,1,1,0,0,1,0,0,10,1,0,0,0
42,34,0.0248538011695906,26,3,5,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
31,23,0.0248538011695906,16,4,3,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
26,18,0.0248538011695906,14,2,2,1,114,609,0,1,7.142857143,7.142857143,0,0,1,2,0,0,1,0
31,23,0.0248538011695906,17,3,3,1,440,256,1,0,0,0,1,0,1,3,0,0,0,0
30,21,0.0248538011695906,16,2,4,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
26,18,0.0248538011695906,10,5,3,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
44,35,0.0248538011695906,31,0,5,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
37,28,0.0248538011695906,23,3,3,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
37,28,0.0248538011695906,23,3,3,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
28,20,0.0248538011695906,11,6,3,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
32,24,0.0248538011695906,21,1,2,1,2,100000,0,0,0,0,0,0,0,0,0,0,0,0
24,16,0.0248538011695906,8,6,2,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
28,19,0.0248538011695906,16,1,3,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
44,36,0.0248538011695906,30,0,6,1,32,114,0,0,0,0,0,0,0,0,0,0,0,0
